season,score,max_score,accuracy
1982,2.6,5.0,0.52
1983,3.8000000000000003,5.0,0.76
1984,4.800000000000001,5.0,0.9600000000000002
1985,5.0,5.0,1.0
1986,5.0,5.0,1.0
1987,3.6,5.0,0.72
1988,4.6000000000000005,5.0,0.9200000000000002
1989,5.199999999999999,5.0,1.0399999999999998
1990,4.0,5.0,0.8
1991,4.4,5.0,0.8800000000000001
1992,3.6,5.0,0.72
1993,3.9999999999999996,5.0,0.7999999999999999
1994,6.8,5.0,1.3599999999999999
1995,6.6,5.0,1.3199999999999998
1996,4.4,5.0,0.8800000000000001
1997,3.4,5.0,0.6799999999999999
1998,4.2,5.0,0.8400000000000001
2000,6.4,5.0,1.28
2001,5.200000000000001,5.0,1.0400000000000003
2002,4.2,5.0,0.8400000000000001
2003,5.6,5.0,1.1199999999999999
2004,3.0,5.0,0.6
2005,5.8,5.0,1.16
2006,5.8,5.0,1.16
2007,5.8,5.0,1.16
2008,4.6,5.0,0.9199999999999999
2009,4.2,5.0,0.8400000000000001
2010,3.4,5.0,0.6799999999999999
2011,7.6000000000000005,5.0,1.52
2012,5.800000000000001,5.0,1.1600000000000001
2013,3.8,5.0,0.76
2014,5.6,5.0,1.1199999999999999
2015,4.0,5.0,0.8
2016,3.0,5.0,0.6
2017,4.6,5.0,0.9199999999999999
2018,5.6000000000000005,5.0,1.12
2019,4.6000000000000005,5.0,0.9200000000000002
2020,5.6000000000000005,5.0,1.12
2021,5.8,5.0,1.16
2022,5.0,5.0,1.0
