season,score,max_score,accuracy
1982,2.6,5.0,0.52
1983,3.2,5.0,0.64
1984,5.0,5.0,1.0
1985,3.8,5.0,0.76
1986,5.0,5.0,1.0
1987,3.6,5.0,0.72
1988,4.6,5.0,0.9199999999999999
1989,6.3999999999999995,5.0,1.2799999999999998
1990,4.0,5.0,0.8
1991,3.4,5.0,0.6799999999999999
1992,4.0,5.0,0.8
1993,3.6,5.0,0.72
1994,6.3999999999999995,5.0,1.2799999999999998
1995,6.6000000000000005,5.0,1.32
1996,5.0,5.0,1.0
1997,4.0,5.0,0.8
1998,3.0,5.0,0.6
2000,6.3999999999999995,5.0,1.2799999999999998
2001,5.0,5.0,1.0
2002,3.8000000000000003,5.0,0.76
2003,5.6000000000000005,5.0,1.12
2004,3.0,5.0,0.6
2005,5.4,5.0,1.08
2006,5.800000000000001,5.0,1.1600000000000001
2007,4.800000000000001,5.0,0.9600000000000002
2008,3.8000000000000003,5.0,0.76
2009,4.2,5.0,0.8400000000000001
2010,3.4000000000000004,5.0,0.68
2011,4.6,5.0,0.9199999999999999
2012,5.6,5.0,1.1199999999999999
2013,2.2,5.0,0.44000000000000006
2014,5.2,5.0,1.04
2015,3.8000000000000003,5.0,0.76
2016,2.9999999999999996,5.0,0.5999999999999999
2017,4.2,5.0,0.8400000000000001
2018,4.6,5.0,0.9199999999999999
2019,4.6,5.0,0.9199999999999999
2020,6.0,5.0,1.2
2021,5.4,5.0,1.08
2022,3.8000000000000003,5.0,0.76
